Energy_keV,Counts
-2.048780488,6
1.829268293,3
5.707317073,4
9.585365854,1
13.46341463,5
17.34146341,5
21.2195122,15
25.09756098,12
28.97560976,14
32.85365854,28
36.73170732,32
40.6097561,148
44.48780488,9838
48.36585366,5455
52.24390244,2085
56.12195122,1589
60,1546
63.87804878,1533
67.75609756,1529
71.63414634,1714
75.51219512,2033
79.3902439,2766
83.26829268,3215
87.14634146,3352
91.02439024,3060
94.90243902,2604
98.7804878,2412
102.6585366,2595
106.5365854,3683
110.4146341,6743
114.2926829,12150
118.1707317,17669
122.0487805,18986
125.9268293,14607
129.804878,8554
133.6829268,4135
137.5609756,2313
141.4390244,1808
145.3170732,1643
149.195122,1559
153.0731707,1666
156.9512195,1999
160.8292683,2268
164.7073171,2505
168.5853659,2495
172.4634146,2365
176.3414634,2032
180.2195122,1656
184.097561,1411
187.9756098,1280
191.8536585,1217
195.7317073,1114
199.6097561,1086
203.4878049,1101
207.3658537,1092
211.2439024,1122
215.1219512,1183
219,1243
222.8780488,1552
226.7560976,1728
230.6341463,2077
234.5121951,2314
238.3902439,2591
242.2682927,2477
246.1463415,2458
250.0243902,2129
253.902439,1853
257.7804878,1540
261.6585366,1258
265.5365854,1152
269.4146341,1012
273.2926829,937
277.1707317,1000
281.0487805,904
284.9268293,1057
288.804878,948
292.6829268,1040
296.5609756,971
300.4390244,963
304.3170732,1008
308.195122,1105
312.0731707,1353
315.9512195,1641
319.8292683,2155
323.7073171,2806
327.5853659,3260
331.4634146,3807
335.3414634,4303
339.2195122,4445
343.097561,4359
346.9756098,4142
350.8536585,3637
354.7317073,3149
358.6097561,2571
362.4878049,2129
366.3658537,1676
370.2439024,1389
374.1219512,1184
378,959
381.8780488,873
385.7560976,827
389.6341463,749
393.5121951,777
397.3902439,745
401.2682927,707
405.1463415,781
409.0243902,805
412.902439,738
416.7804878,791
420.6585366,809
424.5365854,816
428.4146341,771
432.2926829,732
436.1707317,776
440.0487805,758
443.9268293,718
447.804878,735
451.6829268,692
455.5609756,615
459.4390244,603
463.3170732,580
467.195122,578
471.0731707,525
474.9512195,551
478.8292683,559
482.7073171,501
486.5853659,494
490.4634146,521
494.3414634,474
498.2195122,494
502.097561,462
505.9756098,475
509.8536585,490
513.7317073,465
517.6097561,457
521.4878049,430
525.3658537,458
529.2439024,498
533.1219512,443
537,472
540.8780488,477
544.7560976,445
548.6341463,441
552.5121951,434
556.3902439,436
560.2682927,432
564.1463415,458
568.0243902,456
571.902439,466
575.7804878,432
579.6585366,416
583.5365854,455
587.4146341,405
591.2926829,395
595.1707317,399
599.0487805,453
602.9268293,375
606.804878,381
610.6829268,391
614.5609756,363
618.4390244,347
622.3170732,394
626.195122,368
630.0731707,366
633.9512195,360
637.8292683,372
641.7073171,369
645.5853659,379
649.4634146,380
653.3414634,385
657.2195122,371
661.097561,370
664.9756098,364
668.8536585,388
672.7317073,365
676.6097561,402
680.4878049,399
684.3658537,395
688.2439024,389
692.1219512,371
696,424
699.8780488,417
703.7560976,399
707.6341463,404
711.5121951,415
715.3902439,420
719.2682927,418
723.1463415,398
727.0243902,408
730.902439,471
734.7804878,517
738.6585366,498
742.5365854,549
746.4146341,565
750.2926829,622
754.1707317,625
758.0487805,651
761.9268293,649
765.804878,665
769.6829268,711
773.5609756,718
777.4390244,670
781.3170732,624
785.195122,654
789.0731707,617
792.9512195,585
796.8292683,535
800.7073171,554
804.5853659,536
808.4634146,464
812.3414634,438
816.2195122,447
820.097561,407
823.9756098,428
827.8536585,379
831.7317073,403
835.6097561,361
839.4878049,385
843.3658537,371
847.2439024,356
851.1219512,363
855,333
858.8780488,370
862.7560976,331
866.6341463,366
870.5121951,324
874.3902439,318
878.2682927,279
882.1463415,306
886.0243902,303
889.902439,298
893.7804878,307
897.6585366,292
901.5365854,302
905.4146341,343
909.2926829,348
913.1707317,332
917.0487805,366
920.9268293,355
924.804878,348
928.6829268,371
932.5609756,401
936.4390244,386
940.3170732,381
944.195122,436
948.0731707,434
951.9512195,459
955.8292683,433
959.7073171,381
963.5853659,430
967.4634146,400
971.3414634,414
975.2195122,412
979.097561,373
982.9756098,398
986.8536585,347
990.7317073,349
994.6097561,331
998.4878049,287
1002.365854,278
1006.243902,291
1010.121951,266
1014,257
1017.878049,260
1021.756098,259
1025.634146,328
1029.512195,283
1033.390244,310
1037.268293,301
1041.146341,315
1045.02439,352
1048.902439,370
1052.780488,381
1056.658537,413
1060.536585,451
1064.414634,440
1068.292683,474
1072.170732,493
1076.04878,473
1079.926829,492
1083.804878,529
1087.682927,546
1091.560976,527
1095.439024,510
1099.317073,491
1103.195122,480
1107.073171,480
1110.95122,461
1114.829268,495
1118.707317,454
1122.585366,418
1126.463415,365
1130.341463,366
1134.219512,332
1138.097561,364
1141.97561,326
1145.853659,304
1149.731707,283
1153.609756,263
1157.487805,239
1161.365854,239
1165.243902,194
1169.121951,192
1173,193
1176.878049,177
1180.756098,153
1184.634146,156
1188.512195,137
1192.390244,152
1196.268293,127
1200.146341,105
1204.02439,123
1207.902439,85
1211.780488,89
1215.658537,94
1219.536585,81
1223.414634,99
1227.292683,101
1231.170732,81
1235.04878,102
1238.926829,79
1242.804878,96
1246.682927,81
1250.560976,91
1254.439024,80
1258.317073,65
1262.195122,77
1266.073171,79
1269.95122,69
1273.829268,68
1277.707317,63
1281.585366,63
1285.463415,72
1289.341463,50
1293.219512,64
1297.097561,50
1300.97561,66
1304.853659,63
1308.731707,56
1312.609756,56
1316.487805,55
1320.365854,70
1324.243902,84
1328.121951,67
1332,81
1335.878049,93
1339.756098,92
1343.634146,92
1347.512195,121
1351.390244,100
1355.268293,121
1359.146341,115
1363.02439,147
1366.902439,156
1370.780488,180
1374.658537,188
1378.536585,197
1382.414634,220
1386.292683,202
1390.170732,212
1394.04878,212
1397.926829,225
1401.804878,205
1405.682927,216
1409.560976,244
1413.439024,229
1417.317073,196
1421.195122,200
1425.073171,170
1428.95122,187
1432.829268,181
1436.707317,158
1440.585366,155
1444.463415,128
1448.341463,152
1452.219512,130
1456.097561,113
1459.97561,122
1463.853659,119
1467.731707,90
1471.609756,97
1475.487805,78
1479.365854,87
1483.243902,74
1487.121951,64
1491,65
1494.878049,67
1498.756098,61
1502.634146,54
1506.512195,56
1510.390244,53
1514.268293,49
1518.146341,43
1522.02439,34
1525.902439,54
1529.780488,33
1533.658537,37
1537.536585,29
1541.414634,30
1545.292683,28
1549.170732,24
1553.04878,32
1556.926829,39
1560.804878,43
1564.682927,27
1568.560976,27
1572.439024,23
1576.317073,24
1580.195122,25
1584.073171,20
1587.95122,25
1591.829268,13
1595.707317,8
1599.585366,18
