Channel,Energy_keV,Counts
0,0.0,1428
1,0.9765625,1509
2,1.953125,1409
3,2.9296875,1467
4,3.90625,1469
5,4.8828125,1554
6,5.859375,1471
7,6.8359375,1496
8,7.8125,1474
9,8.7890625,1480
10,9.765625,1561
11,10.7421875,1514
12,11.71875,1438
13,12.6953125,1484
14,13.671875,1440
15,14.6484375,1481
16,15.625,1460
17,16.6015625,1432
18,17.578125,1431
19,18.5546875,1494
20,19.53125,1422
21,20.5078125,1470
22,21.484375,1428
23,22.4609375,1417
24,23.4375,1478
25,24.4140625,1464
26,25.390625,1510
27,26.3671875,1448
28,27.34375,1418
29,28.3203125,1398
30,29.296875,1446
31,30.2734375,1422
32,31.25,1422
33,32.2265625,1454
34,33.203125,1432
35,34.1796875,1443
36,35.15625,1475
37,36.1328125,1464
38,37.109375,1479
39,38.0859375,1406
40,39.0625,1386
41,40.0390625,1414
42,41.015625,1464
43,41.9921875,1405
44,42.96875,1343
45,43.9453125,1440
46,44.921875,1451
47,45.8984375,1410
48,46.875,1366
49,47.8515625,1425
50,48.828125,1385
51,49.8046875,1464
52,50.78125,1391
53,51.7578125,1418
54,52.734375,1330
55,53.7109375,1371
56,54.6875,1439
57,55.6640625,1369
58,56.640625,1438
59,57.6171875,1380
60,58.59375,1342
61,59.5703125,1459
62,60.546875,1393
63,61.5234375,1406
64,62.5,1425
65,63.4765625,1419
66,64.453125,1422
67,65.4296875,1443
68,66.40625,1378
69,67.3828125,1387
70,68.359375,1405
71,69.3359375,1373
72,70.3125,1373
73,71.2890625,1422
74,72.265625,1317
75,73.2421875,1366
76,74.21875,1348
77,75.1953125,1409
78,76.171875,1435
79,77.1484375,1374
80,78.125,1336
81,79.1015625,1363
82,80.078125,1370
83,81.0546875,1342
84,82.03125,1388
85,83.0078125,1343
86,83.984375,1382
87,84.9609375,1385
88,85.9375,1360
89,86.9140625,1350
90,87.890625,1347
91,88.8671875,1375
92,89.84375,1396
93,90.8203125,1348
94,91.796875,1367
95,92.7734375,1316
96,93.75,1325
97,94.7265625,1380
98,95.703125,1404
99,96.6796875,1379
100,97.65625,1344
101,98.6328125,1243
102,99.609375,1366
103,100.5859375,1353
104,101.5625,1350
105,102.5390625,1302
106,103.515625,1344
107,104.4921875,1340
108,105.46875,1353
109,106.4453125,1337
110,107.421875,1377
111,108.3984375,1337
112,109.375,1308
113,110.3515625,1300
114,111.328125,1318
115,112.3046875,1341
116,113.28125,1328
117,114.2578125,1369
118,115.234375,1267
119,116.2109375,1340
120,117.1875,1316
121,118.1640625,1304
122,119.140625,1266
123,120.1171875,1365
124,121.09375,1358
125,122.0703125,1357
126,123.046875,1383
127,124.0234375,1207
128,125.0,1333
129,125.9765625,1326
130,126.953125,1311
131,127.9296875,1291
132,128.90625,1308
133,129.8828125,1285
134,130.859375,1296
135,131.8359375,1284
136,132.8125,1264
137,133.7890625,1324
138,134.765625,1349
139,135.7421875,1269
140,136.71875,1318
141,137.6953125,1305
142,138.671875,1285
143,139.6484375,1325
144,140.625,1334
145,141.6015625,1220
146,142.578125,1266
147,143.5546875,1267
148,144.53125,1300
149,145.5078125,1289
150,146.484375,1221
151,147.4609375,1242
152,148.4375,1285
153,149.4140625,1268
154,150.390625,1231
155,151.3671875,1246
156,152.34375,1278
157,153.3203125,1218
158,154.296875,1268
159,155.2734375,1231
160,156.25,1279
161,157.2265625,1296
162,158.203125,1246
163,159.1796875,1295
164,160.15625,1298
165,161.1328125,1253
166,162.109375,1291
167,163.0859375,1283
168,164.0625,1293
169,165.0390625,1239
170,166.015625,1222
171,166.9921875,1292
172,167.96875,1232
173,168.9453125,1206
174,169.921875,1220
175,170.8984375,1241
176,171.875,1275
177,172.8515625,1215
178,173.828125,1256
179,174.8046875,1288
180,175.78125,1236
181,176.7578125,1221
182,177.734375,1255
183,178.7109375,1181
184,179.6875,1183
185,180.6640625,1252
186,181.640625,1203
187,182.6171875,1260
188,183.59375,1197
189,184.5703125,1235
190,185.546875,1181
191,186.5234375,1205
192,187.5,1284
193,188.4765625,1187
194,189.453125,1172
195,190.4296875,1239
196,191.40625,1207
197,192.3828125,1181
198,193.359375,1211
199,194.3359375,1228
200,195.3125,1225
201,196.2890625,1228
202,197.265625,1149
203,198.2421875,1173
204,199.21875,1248
205,200.1953125,1207
206,201.171875,1235
207,202.1484375,1145
208,203.125,1154
209,204.1015625,1210
210,205.078125,1163
211,206.0546875,1162
212,207.03125,1265
213,208.0078125,1215
214,208.984375,1164
215,209.9609375,1203
216,210.9375,1173
217,211.9140625,1184
218,212.890625,1165
219,213.8671875,1201
220,214.84375,1178
221,215.8203125,1247
222,216.796875,1125
223,217.7734375,1227
224,218.75,1181
225,219.7265625,1175
226,220.703125,1179
227,221.6796875,1121
228,222.65625,1218
229,223.6328125,1150
230,224.609375,1140
231,225.5859375,1188
232,226.5625,1164
233,227.5390625,1154
234,228.515625,1150
235,229.4921875,1165
236,230.46875,1139
237,231.4453125,1121
238,232.421875,1157
239,233.3984375,1141
240,234.375,1230
241,235.3515625,1167
242,236.328125,1167
243,237.3046875,1168
244,238.28125,1158
245,239.2578125,1088
246,240.234375,1165
247,241.2109375,1158
248,242.1875,1153
249,243.1640625,1153
250,244.140625,1116
251,245.1171875,1165
252,246.09375,1142
253,247.0703125,1206
254,248.046875,1115
255,249.0234375,1147
256,250.0,1045
257,250.9765625,1131
258,251.953125,1128
259,252.9296875,1109
260,253.90625,1143
261,254.8828125,1161
262,255.859375,1131
263,256.8359375,1134
264,257.8125,1124
265,258.7890625,1143
266,259.765625,1113
267,260.7421875,1138
268,261.71875,1124
269,262.6953125,1183
270,263.671875,1117
271,264.6484375,1102
272,265.625,1075
273,266.6015625,1056
274,267.578125,1122
275,268.5546875,1071
276,269.53125,1133
277,270.5078125,1102
278,271.484375,1124
279,272.4609375,1138
280,273.4375,1185
281,274.4140625,1121
282,275.390625,1112
283,276.3671875,1054
284,277.34375,1125
285,278.3203125,1102
286,279.296875,1116
287,280.2734375,1069
288,281.25,1049
289,282.2265625,1131
290,283.203125,1067
291,284.1796875,1163
292,285.15625,1147
293,286.1328125,1068
294,287.109375,1125
295,288.0859375,1152
296,289.0625,1143
297,290.0390625,1110
298,291.015625,1099
299,291.9921875,1052
300,292.96875,1128
301,293.9453125,1067
302,294.921875,1071
303,295.8984375,1070
304,296.875,1107
305,297.8515625,1080
306,298.828125,1111
307,299.8046875,1086
308,300.78125,1054
309,301.7578125,1052
310,302.734375,1095
311,303.7109375,1076
312,304.6875,1124
313,305.6640625,1079
314,306.640625,1057
315,307.6171875,1050
316,308.59375,1080
317,309.5703125,1056
318,310.546875,1052
319,311.5234375,1061
320,312.5,1074
321,313.4765625,1027
322,314.453125,1099
323,315.4296875,1037
324,316.40625,1019
325,317.3828125,1068
326,318.359375,1054
327,319.3359375,1043
328,320.3125,1067
329,321.2890625,1041
330,322.265625,1067
331,323.2421875,1092
332,324.21875,1017
333,325.1953125,1065
334,326.171875,1030
335,327.1484375,999
336,328.125,1081
337,329.1015625,1023
338,330.078125,1036
339,331.0546875,1057
340,332.03125,1025
341,333.0078125,1025
342,333.984375,1067
343,334.9609375,1035
344,335.9375,1048
345,336.9140625,1053
346,337.890625,1039
347,338.8671875,1032
348,339.84375,1048
349,340.8203125,976
350,341.796875,1043
351,342.7734375,963
352,343.75,1029
353,344.7265625,1031
354,345.703125,1021
355,346.6796875,1000
356,347.65625,1110
357,348.6328125,1072
358,349.609375,1016
359,350.5859375,1050
360,351.5625,1030
361,352.5390625,1023
362,353.515625,1040
363,354.4921875,1017
364,355.46875,989
365,356.4453125,1034
366,357.421875,946
367,358.3984375,1039
368,359.375,956
369,360.3515625,1025
370,361.328125,966
371,362.3046875,976
372,363.28125,1039
373,364.2578125,1061
374,365.234375,955
375,366.2109375,954
376,367.1875,998
377,368.1640625,1011
378,369.140625,971
379,370.1171875,1019
380,371.09375,1039
381,372.0703125,1037
382,373.046875,1001
383,374.0234375,997
384,375.0,945
385,375.9765625,982
386,376.953125,944
387,377.9296875,1039
388,378.90625,987
389,379.8828125,959
390,380.859375,978
391,381.8359375,993
392,382.8125,1016
393,383.7890625,954
394,384.765625,949
395,385.7421875,906
396,386.71875,950
397,387.6953125,1010
398,388.671875,973
399,389.6484375,999
400,390.625,930
401,391.6015625,986
402,392.578125,978
403,393.5546875,979
404,394.53125,981
405,395.5078125,976
406,396.484375,949
407,397.4609375,1007
408,398.4375,927
409,399.4140625,980
410,400.390625,942
411,401.3671875,967
412,402.34375,946
413,403.3203125,962
414,404.296875,985
415,405.2734375,981
416,406.25,908
417,407.2265625,958
418,408.203125,943
419,409.1796875,913
420,410.15625,969
421,411.1328125,898
422,412.109375,948
423,413.0859375,905
424,414.0625,988
425,415.0390625,1010
426,416.015625,890
427,416.9921875,956
428,417.96875,953
429,418.9453125,949
430,419.921875,948
431,420.8984375,921
432,421.875,957
433,422.8515625,898
434,423.828125,909
435,424.8046875,982
436,425.78125,885
437,426.7578125,925
438,427.734375,910
439,428.7109375,924
440,429.6875,932
441,430.6640625,960
442,431.640625,891
443,432.6171875,974
444,433.59375,914
445,434.5703125,922
446,435.546875,927
447,436.5234375,965
448,437.5,957
449,438.4765625,914
450,439.453125,910
451,440.4296875,982
452,441.40625,904
453,442.3828125,942
454,443.359375,891
455,444.3359375,914
456,445.3125,869
457,446.2890625,949
458,447.265625,926
459,448.2421875,890
460,449.21875,972
461,450.1953125,871
462,451.171875,935
463,452.1484375,970
464,453.125,1018
465,454.1015625,907
466,455.078125,893
467,456.0546875,980
468,457.03125,945
469,458.0078125,886
470,458.984375,901
471,459.9609375,932
472,460.9375,851
473,461.9140625,879
474,462.890625,873
475,463.8671875,881
476,464.84375,902
477,465.8203125,856
478,466.796875,943
479,467.7734375,934
480,468.75,875
481,469.7265625,891
482,470.703125,873
483,471.6796875,872
484,472.65625,888
485,473.6328125,906
486,474.609375,889
487,475.5859375,832
488,476.5625,958
489,477.5390625,927
490,478.515625,832
491,479.4921875,885
492,480.46875,926
493,481.4453125,884
494,482.421875,964
495,483.3984375,862
496,484.375,871
497,485.3515625,870
498,486.328125,867
499,487.3046875,885
500,488.28125,895
501,489.2578125,857
502,490.234375,892
503,491.2109375,838
504,492.1875,808
505,493.1640625,875
506,494.140625,928
507,495.1171875,859
508,496.09375,851
509,497.0703125,912
510,498.046875,862
511,499.0234375,877
512,500.0,843
513,500.9765625,894
514,501.953125,858
515,502.9296875,837
516,503.90625,844
517,504.8828125,840
518,505.859375,896
519,506.8359375,874
520,507.8125,885
521,508.7890625,806
522,509.765625,874
523,510.7421875,864
524,511.71875,888
525,512.6953125,850
526,513.671875,828
527,514.6484375,825
528,515.625,829
529,516.6015625,876
530,517.578125,889
531,518.5546875,862
532,519.53125,791
533,520.5078125,873
534,521.484375,810
535,522.4609375,835
536,523.4375,862
537,524.4140625,846
538,525.390625,867
539,526.3671875,827
540,527.34375,846
541,528.3203125,872
542,529.296875,824
543,530.2734375,805
544,531.25,788
545,532.2265625,833
546,533.203125,848
547,534.1796875,834
548,535.15625,805
549,536.1328125,830
550,537.109375,897
551,538.0859375,847
552,539.0625,779
553,540.0390625,810
554,541.015625,849
555,541.9921875,841
556,542.96875,841
557,543.9453125,827
558,544.921875,839
559,545.8984375,799
560,546.875,810
561,547.8515625,801
562,548.828125,821
563,549.8046875,813
564,550.78125,796
565,551.7578125,813
566,552.734375,853
567,553.7109375,830
568,554.6875,825
569,555.6640625,778
570,556.640625,802
571,557.6171875,767
572,558.59375,801
573,559.5703125,800
574,560.546875,809
575,561.5234375,778
576,562.5,844
577,563.4765625,809
578,564.453125,789
579,565.4296875,788
580,566.40625,790
581,567.3828125,812
582,568.359375,815
583,569.3359375,786
584,570.3125,789
585,571.2890625,778
586,572.265625,747
587,573.2421875,828
588,574.21875,837
589,575.1953125,844
590,576.171875,803
591,577.1484375,792
592,578.125,805
