Energy_keV,Counts
0,81
1,77
2,88
3,90
4,93
5,77
6,79
7,90
8,76
9,90
10,91
11,75
12,85
13,85
14,92
15,90
16,92
17,76
18,87
19,89
20,83
21,83
22,86
23,86
24,80
25,87
26,89
27,87
28,81
29,91
30,81
31,85
32,77
33,83
34,80
35,84
36,81
37,86
38,82
39,94
40,82
41,91
42,88
43,84
44,83
45,86
46,90
47,81
48,82
49,86
50,87
51,84
52,86
53,88
54,82
55,90
56,87
57,84
58,82
59,85
60,86
61,86
62,91
63,84
64,88
65,83
66,91
67,87
68,85
69,82
70,83
71,85
72,93
73,83
74,85
75,81
76,82
77,81
78,82
79,84
80,82
81,85
82,86
83,82
84,81
85,83
86,85
87,83
88,85
89,84
90,83
91,82
92,84
93,84
94,84
95,85
96,82
97,84
98,84
99,83
100,82
101,83
102,83
103,84
104,82
105,82
106,84
107,83
108,82
109,82
110,81
111,81
112,82
113,81
114,81
115,81
116,81
117,81
118,81
119,81
120,81
121,81
122,80
123,80
124,80
125,80
126,80
127,80
128,80
129,80
130,80
131,80
132,80
133,80
134,80
135,80
136,80
137,80
138,80
139,80
140,80
141,80
142,80
143,80
144,80
145,80
146,80
147,80
148,80
149,80
150,80
151,80
152,80
153,80
154,80
155,80
156,80
157,80
158,80
159,80
160,80
161,80
162,80
163,80
164,80
165,80
166,80
167,80
168,80
169,80
170,80
171,81
172,81
173,82
174,83
175,84
176,85
177,86
178,88
179,90
180,92
181,95
182,98
183,101
184,105
185,110
186,115
187,121
188,128
189,136
190,145
191,155
192,166
193,178
194,192
195,207
196,224
197,242
198,261
199,282
200,305
201,329
202,354
203,380
204,407
205,435
206,464
207,492
208,521
209,548
210,574
211,598
212,620
213,638
214,653
215,663
216,669
217,670
218,665
219,655
220,640
221,621
222,597
223,571
224,542
225,512
226,481
227,450
228,419
229,388
230,359
231,331
232,304
233,280
234,257
235,236
236,218
237,201
238,187
239,174
240,163
241,153
242,145
243,138
244,132
245,127
246,122
247,118
248,114
249,111
250,109
251,106
252,104
253,102
254,101
255,99
256,98
257,97
258,96
259,95
260,94
261,93
262,93
263,92
264,92
265,92
266,91
267,91
268,91
269,91
270,91
271,91
272,91
273,91
274,91
275,91
276,91
277,91
278,92
279,93
280,95
281,99
282,106
283,117
284,134
285,159
286,195
287,246
288,316
289,410
290,535
291,697
292,897
293,1133
294,1390
295,1648
296,1878
297,2046
298,2119
299,2080
300,1925
301,1681
302,1390
303,1098
304,849
305,658
306,513
307,411
308,350
309,311
310,296
311,304
312,339
313,410
314,534
315,732
316,1022
317,1413
318,1894
319,2432
320,2969
321,3436
322,3764
323,3896
324,3799
325,3489
326,2992
327,2385
328,1769
329,1223
330,800
331,525
332,360
333,264
334,204
335,166
336,141
337,125
338,112
339,103
340,97
341,92
342,88
343,85
344,82
345,80
346,78
347,77
348,76
349,75
350,74
351,73
352,73
353,72
354,72
355,71
356,71
357,71
358,71
359,70
360,70
361,70
362,70
363,70
364,70
365,69
366,69
367,69
368,69
369,69
370,69
371,69
372,69
373,69
374,69
375,69
376,69
377,69
378,69
379,69
380,69
381,69
382,69
383,69
384,69
385,69
386,69
387,69
388,69
389,69
390,69
391,69
392,69
393,69
394,69
395,69
396,69
397,69
398,69
399,69
400,69
401,69
402,69
403,69
404,69
405,69
406,69
407,69
408,69
409,69
410,69
411,69
412,69
413,69
414,69
415,69
416,69
417,69
418,69
419,70
420,70
421,71
422,72
423,73
424,75
425,78
426,82
427,87
428,94
429,103
430,115
431,129
432,147
433,169
434,196
435,229
436,268
437,314
438,367
439,428
440,496
441,569
442,646
443,724
444,801
445,873
446,937
447,990
448,1027
449,1048
450,1049
451,1031
452,995
453,942
454,874
455,798
456,717
457,635
458,558
459,486
460,422
461,367
462,323
463,288
464,264
465,251
466,251
467,265
468,295
469,347
470,424
471,530
472,672
473,851
474,1068
475,1319
476,1596
477,1878
478,2140
479,2353
480,2491
481,2531
482,2461
483,2281
484,2007
485,1669
486,1311
487,978
488,696
489,480
490,323
491,215
492,147
493,103
494,76
495,59
496,48
497,40
498,34
499,30
500,27
501,25
502,23
503,22
504,21
505,20
506,20
507,19
508,19
509,19
510,18
511,18
512,18
513,18
514,18
515,18
516,18
517,17
518,17
519,17
520,17
521,17
522,17
523,17
524,17
525,17
526,17
527,17
528,17
529,17
530,17
531,17
532,17
533,17
534,17
535,17
536,17
537,17
538,17
539,17
540,17
541,17
542,17
543,17
544,17
545,17
546,17
547,17
548,17
549,17
550,17
551,17
552,17
553,17
554,17
555,17
556,17
557,17
558,17
559,17
560,17
561,17
562,17
563,17
564,17
565,17
566,17
567,17
568,17
569,17
570,17
571,17
572,17
573,17
574,17
575,17
576,17
577,17
578,18
579,18
580,19
581,20
582,21
583,23
584,26
585,30
586,34
587,41
588,49
589,59
590,72
591,89
592,108
593,131
594,157
595,186
596,216
597,246
598,274
599,298
600,317
601,328
602,332
603,326
604,311
605,288
606,259
607,227
608,194
609,164
610,137
611,116
612,98
613,85
614,75
615,68
616,62
617,58
618,55
619,53
620,51
621,50
622,48
623,47
624,46
625,45
626,45
627,44
628,43
629,43
630,42
631,42
632,41
633,41
634,40
635,40
636,39
637,39
638,39
639,38
640,38
641,38
642,37
643,37
644,37
645,36
646,36
647,36
648,36
649,35
650,35
651,35
652,35
653,34
654,34
655,34
656,34
657,34
658,33
659,33
660,33
661,33
662,33
663,32
664,32
665,32
666,32
667,32
668,32
669,31
670,31
671,31
672,31
673,31
674,31
675,31
676,30
677,30
678,30
679,30
680,30
681,30
682,30
683,30
684,30
685,29
686,29
687,29
688,29
689,29
690,29
691,29
692,29
693,29
694,29
695,29
696,28
697,28
698,28
699,28
700,28
701,28
702,28
703,28
704,28
705,28
706,28
707,28
708,28
709,28
710,28
711,27
712,27
713,27
714,27
715,27
716,27
717,27
718,27
719,27
720,27
721,27
722,27
723,27
724,27
725,27
726,27
727,27
728,27
729,27
730,26
731,26
732,26
733,26
734,26
735,26
736,26
737,26
738,26
739,26
740,26
741,26
742,26
743,26
744,26
745,26
746,26
747,26
748,26
749,26
750,26
751,26
752,26
753,26
754,26
755,25
756,25
757,25
758,25
759,25
760,25
761,25
762,25
763,25
764,25
765,25
766,25
767,25
768,25
769,25
770,25
771,25
772,25
773,25
774,25
775,25
776,25
777,25
778,25
779,25
780,25
781,25
782,25
783,25
784,25
785,25
786,25
787,25
788,25
789,25
790,25
791,25
792,25
793,25
794,25
795,25
796,25
797,25
798,25
799,25
800,25
