energy,Counts
0.08,300.0
0.29,300.0
0.49,0.0
0.69,0.0
0.9,0.0
1.1,15.0
1.3,74.0
1.51,85.0
1.71,79.0
1.91,77.0
2.12,60.0
2.32,41.0
2.53,49.0
2.73,35.0
2.93,29.0
3.14,27.0
3.34,26.0
3.54,22.0
3.75,30.0
3.95,14.0
4.15,28.0
4.36,15.0
4.56,14.0
4.76,16.0
4.97,16.0
5.17,12.0
5.37,13.0
5.58,11.0
5.78,8.0
5.98,12.0
6.19,18.0
6.39,13.0
6.59,11.0
6.8,25.0
7.0,12.0
7.21,11.0
7.41,10.0
7.61,14.0
7.82,9.0
8.02,13.0
8.22,12.0
8.43,14.0
8.63,7.0
8.83,7.0
9.04,8.0
9.24,12.0
9.44,5.0
9.65,4.0
9.85,8.0
10.05,7.0
10.26,9.0
10.46,5.0
10.66,7.0
10.87,11.0
11.07,8.0
11.28,8.0
11.48,9.0
11.68,6.0
11.89,7.0
12.09,9.0
12.29,8.0
12.5,8.0
12.7,7.0
12.9,4.0
13.11,3.0
13.31,7.0
13.51,5.0
13.72,9.0
13.92,8.0
14.12,12.0
14.33,5.0
14.53,9.0
14.73,6.0
14.94,3.0
15.14,5.0
15.34,11.0
15.55,2.0
15.75,5.0
15.96,4.0
16.16,9.0
16.36,8.0
16.57,6.0
16.77,3.0
16.97,0.0
17.18,1.0
17.38,9.0
17.58,7.0
17.79,4.0
17.99,12.0
18.19,4.0
18.4,5.0
18.6,3.0
18.8,2.0
19.01,7.0
19.21,2.0
19.41,6.0
19.62,3.0
19.82,4.0
20.03,3.0
20.23,7.0
20.43,2.0
20.64,6.0
20.84,2.0
21.04,1.0
21.25,7.0
21.45,4.0
21.65,3.0
21.86,5.0
22.06,7.0
22.26,8.0
22.47,5.0
22.67,3.0
22.87,7.0
23.08,5.0
23.28,4.0
23.48,1.0
23.69,2.0
23.89,5.0
24.09,3.0
24.3,3.0
24.5,5.0
24.71,3.0
24.91,4.0
25.11,4.0
25.32,4.0
25.52,6.0
25.72,5.0
25.93,8.0
26.13,5.0
26.33,7.0
26.54,3.0
26.74,2.0
26.94,5.0
27.15,6.0
27.35,12.0
27.55,8.0
27.76,5.0
27.96,4.0
28.16,2.0
28.37,5.0
28.57,3.0
28.77,1.0
28.98,2.0
29.18,2.0
29.39,6.0
29.59,1.0
29.79,3.0
30.0,1.0
30.2,7.0
30.4,4.0
30.61,1.0
30.81,8.0
31.01,7.0
31.22,4.0
31.42,6.0
31.62,5.0
31.83,3.0
32.03,1.0
32.23,2.0
32.44,2.0
32.64,2.0
32.84,3.0
33.05,0.0
33.25,3.0
33.45,2.0
33.66,0.0
33.86,1.0
34.07,2.0
34.27,1.0
34.47,2.0
34.68,6.0
34.88,0.0
