Channel,Counts
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,8
49,76
50,240
51,327
52,362
53,345
54,329
55,341
56,356
57,319
58,358
59,323
60,307
61,318
62,311
63,316
64,326
65,292
66,276
67,270
68,282
69,314
70,288
71,275
72,272
73,263
74,275
75,258
76,275
77,270
78,248
79,264
80,282
81,263
82,266
83,237
84,250
85,216
86,268
87,268
88,243
89,246
90,232
91,228
92,248
93,238
94,229
95,224
96,218
97,217
98,237
99,217
100,240
101,197
102,218
103,223
104,207
105,219
106,215
107,182
108,230
109,201
110,198
111,232
112,226
113,213
114,185
115,206
116,205
117,189
118,199
119,196
120,230
121,178
122,211
123,190
124,196
125,227
126,168
127,202
128,201
129,190
130,212
131,172
132,185
133,190
134,190
135,182
136,198
137,190
138,207
139,177
140,200
141,180
142,182
143,186
144,184
145,180
146,188
147,184
148,170
149,167
150,173
151,176
152,157
153,193
154,170
155,165
156,175
157,155
158,153
159,143
160,182
161,162
162,166
163,169
164,154
165,146
166,164
167,168
168,170
169,173
170,168
171,151
172,175
173,183
174,146
175,142
176,160
177,172
178,149
179,171
180,171
181,164
182,170
183,154
184,186
185,153
186,139
187,143
188,168
189,153
190,155
191,140
192,145
193,160
194,161
195,150
196,148
197,131
198,143
199,129
200,173
201,144
202,141
203,140
204,151
205,173
206,170
207,169
208,139
209,131
210,138
211,142
212,150
213,138
214,122
215,123
216,164
217,159
218,149
219,153
220,151
221,142
222,141
223,145
224,141
225,139
226,140
227,120
228,153
229,134
230,142
231,161
232,138
233,137
234,120
235,126
236,128
237,150
238,128
239,145
240,134
241,148
242,153
243,132
244,124
245,128
246,123
247,134
248,167
249,119
250,139
251,125
252,134
253,126
254,127
255,130
256,143
257,115
258,135
259,138
260,140
261,125
262,117
263,124
264,107
265,129
266,127
267,128
268,105
269,117
270,121
271,142
272,124
273,130
274,121
275,138
276,118
277,120
278,137
279,108
280,137
281,139
282,138
283,131
284,121
285,136
286,128
287,130
288,111
289,123
290,139
291,123
292,117
293,106
294,121
295,132
296,113
297,134
298,104
299,137
300,111
301,117
302,123
303,115
304,115
305,126
306,116
307,109
308,116
309,112
310,109
311,102
312,102
313,124
314,108
315,120
316,109
317,93
318,106
319,107
320,114
321,110
322,124
323,114
324,115
325,115
326,132
327,120
328,123
329,114
330,111
331,129
332,129
333,109
334,128
335,112
336,107
337,103
338,128
339,124
340,107
341,109
342,116
343,90
344,90
345,100
346,127
347,121
348,111
349,96
350,119
351,99
352,102
353,111
354,101
355,117
356,118
357,115
358,112
359,103
360,119
361,124
362,88
363,108
364,107
365,119
366,112
367,88
368,106
369,100
370,89
371,104
372,110
373,124
374,112
375,118
376,101
377,110
378,105
379,112
380,108
381,107
382,82
383,97
384,98
385,109
386,115
387,89
388,98
389,104
390,98
391,105
392,96
393,106
394,93
395,92
396,96
397,107
398,97
399,98
400,90
401,120
402,95
403,105
404,100
405,90
406,71
407,91
408,116
409,92
410,118
411,109
412,104
413,105
414,104
415,95
416,96
417,91
418,82
419,115
420,99
421,113
422,101
423,106
424,84
425,97
426,97
427,90
428,94
429,91
430,105
431,106
432,101
433,87
434,104
435,77
436,101
437,95
438,86
439,97
440,108
441,96
442,90
443,85
444,90
445,95
446,94
447,112
448,76
449,85
450,91
451,98
452,81
453,91
454,87
455,83
456,98
457,92
458,88
459,97
460,96
461,80
462,84
463,100
464,77
465,88
466,71
467,97
468,95
469,107
470,91
471,104
472,96
473,77
474,79
475,86
476,80
477,90
478,90
479,100
480,100
481,77
482,88
483,91
484,95
485,92
486,84
487,80
488,79
489,95
490,88
491,93
492,92
493,113
494,75
495,86
496,69
497,85
498,93
499,87
500,87
501,72
502,69
503,79
504,84
505,100
506,95
507,86
508,79
509,84
510,93
511,74
512,93
513,69
514,92
515,93
516,78
517,99
518,95
519,80
520,89
521,80
522,109
523,69
524,97
525,79
526,97
527,92
528,76
529,75
530,79
531,65
