Channel,Energy_keV,Counts
0,0.0,1493
1,0.9765625,1556
2,1.953125,1522
3,2.9296875,1506
4,3.90625,1538
5,4.8828125,1519
6,5.859375,1465
7,6.8359375,1440
8,7.8125,1466
9,8.7890625,1515
10,9.765625,1485
11,10.7421875,1412
12,11.71875,1452
13,12.6953125,1491
14,13.671875,1512
15,14.6484375,1511
16,15.625,1492
17,16.6015625,1474
18,17.578125,1470
19,18.5546875,1457
20,19.53125,1512
21,20.5078125,1416
22,21.484375,1462
23,22.4609375,1401
24,23.4375,1452
25,24.4140625,1433
26,25.390625,1457
27,26.3671875,1454
28,27.34375,1379
29,28.3203125,1390
30,29.296875,1395
31,30.2734375,1462
32,31.25,1435
33,32.2265625,1463
34,33.203125,1433
35,34.1796875,1426
36,35.15625,1400
37,36.1328125,1396
38,37.109375,1511
39,38.0859375,1458
40,39.0625,1473
41,40.0390625,1389
42,41.015625,1443
43,41.9921875,1429
44,42.96875,1481
45,43.9453125,1444
46,44.921875,1394
47,45.8984375,1419
48,46.875,1352
49,47.8515625,1407
50,48.828125,1407
51,49.8046875,1447
52,50.78125,1424
53,51.7578125,1430
54,52.734375,1401
55,53.7109375,1389
56,54.6875,1445
57,55.6640625,1387
58,56.640625,1416
59,57.6171875,1356
60,58.59375,1427
61,59.5703125,1423
62,60.546875,1414
63,61.5234375,1478
64,62.5,1370
65,63.4765625,1397
66,64.453125,1418
67,65.4296875,1316
68,66.40625,1413
69,67.3828125,1376
70,68.359375,1419
71,69.3359375,1371
72,70.3125,1343
73,71.2890625,1376
74,72.265625,1430
75,73.2421875,1346
76,74.21875,1376
77,75.1953125,1276
78,76.171875,1377
79,77.1484375,1461
80,78.125,1324
81,79.1015625,1338
82,80.078125,1375
83,81.0546875,1358
84,82.03125,1358
85,83.0078125,1377
86,83.984375,1408
87,84.9609375,1372
88,85.9375,1361
89,86.9140625,1381
90,87.890625,1349
91,88.8671875,1225
92,89.84375,1274
93,90.8203125,1293
94,91.796875,1368
95,92.7734375,1333
96,93.75,1402
97,94.7265625,1226
98,95.703125,1385
99,96.6796875,1337
100,97.65625,1346
101,98.6328125,1324
102,99.609375,1249
103,100.5859375,1291
104,101.5625,1325
105,102.5390625,1320
106,103.515625,1309
107,104.4921875,1385
108,105.46875,1259
109,106.4453125,1340
110,107.421875,1307
111,108.3984375,1316
112,109.375,1272
113,110.3515625,1368
114,111.328125,1391
115,112.3046875,1366
116,113.28125,1343
117,114.2578125,1350
118,115.234375,1356
119,116.2109375,1365
120,117.1875,1257
121,118.1640625,1313
122,119.140625,1320
123,120.1171875,1341
124,121.09375,1294
125,122.0703125,1379
126,123.046875,1311
127,124.0234375,1324
128,125.0,1293
129,125.9765625,1257
130,126.953125,1281
131,127.9296875,1247
132,128.90625,1285
133,129.8828125,1374
134,130.859375,1232
135,131.8359375,1280
136,132.8125,1290
137,133.7890625,1221
138,134.765625,1334
139,135.7421875,1318
140,136.71875,1284
141,137.6953125,1329
142,138.671875,1317
143,139.6484375,1258
144,140.625,1311
145,141.6015625,1284
146,142.578125,1318
147,143.5546875,1275
148,144.53125,1326
149,145.5078125,1293
150,146.484375,1310
151,147.4609375,1210
152,148.4375,1287
153,149.4140625,1257
154,150.390625,1242
155,151.3671875,1325
156,152.34375,1226
157,153.3203125,1280
158,154.296875,1310
159,155.2734375,1267
160,156.25,1243
161,157.2265625,1311
162,158.203125,1232
163,159.1796875,1212
164,160.15625,1241
165,161.1328125,1291
166,162.109375,1212
167,163.0859375,1284
168,164.0625,1276
169,165.0390625,1237
170,166.015625,1297
171,166.9921875,1220
172,167.96875,1261
173,168.9453125,1228
174,169.921875,1255
175,170.8984375,1312
176,171.875,1273
177,172.8515625,1288
178,173.828125,1278
179,174.8046875,1265
180,175.78125,1252
181,176.7578125,1232
182,177.734375,1235
183,178.7109375,1247
184,179.6875,1182
185,180.6640625,1266
186,181.640625,1246
187,182.6171875,1281
188,183.59375,1245
189,184.5703125,1191
190,185.546875,1241
191,186.5234375,1285
192,187.5,1233
193,188.4765625,1234
194,189.453125,1183
195,190.4296875,1162
196,191.40625,1241
197,192.3828125,1309
198,193.359375,1217
199,194.3359375,1278
200,195.3125,1171
201,196.2890625,1183
202,197.265625,1250
203,198.2421875,1163
204,199.21875,1186
205,200.1953125,1153
206,201.171875,1177
207,202.1484375,1255
208,203.125,1149
209,204.1015625,1199
210,205.078125,1194
211,206.0546875,1164
212,207.03125,1259
213,208.0078125,1177
214,208.984375,1225
215,209.9609375,1178
216,210.9375,1275
217,211.9140625,1146
218,212.890625,1200
219,213.8671875,1151
220,214.84375,1162
221,215.8203125,1168
222,216.796875,1213
223,217.7734375,1135
224,218.75,1199
225,219.7265625,1177
226,220.703125,1203
227,221.6796875,1164
228,222.65625,1146
229,223.6328125,1236
230,224.609375,1189
231,225.5859375,1107
232,226.5625,1115
233,227.5390625,1251
234,228.515625,1167
235,229.4921875,1193
236,230.46875,1134
237,231.4453125,1169
238,232.421875,1172
239,233.3984375,1140
240,234.375,1175
241,235.3515625,1141
242,236.328125,1047
243,237.3046875,1226
244,238.28125,1185
245,239.2578125,1194
246,240.234375,1157
247,241.2109375,1151
248,242.1875,1130
249,243.1640625,1120
250,244.140625,1149
251,245.1171875,1160
252,246.09375,1128
253,247.0703125,1168
254,248.046875,1196
255,249.0234375,1115
256,250.0,1179
257,250.9765625,1153
258,251.953125,1120
259,252.9296875,1163
260,253.90625,1111
261,254.8828125,1142
262,255.859375,1100
263,256.8359375,1187
264,257.8125,1170
265,258.7890625,1108
266,259.765625,1117
267,260.7421875,1192
268,261.71875,1117
269,262.6953125,1131
270,263.671875,1218
271,264.6484375,1165
272,265.625,1171
273,266.6015625,1086
274,267.578125,1148
275,268.5546875,1161
276,269.53125,1069
277,270.5078125,1147
278,271.484375,1126
279,272.4609375,1094
280,273.4375,1069
281,274.4140625,1135
282,275.390625,1074
283,276.3671875,1192
284,277.34375,1113
285,278.3203125,1104
286,279.296875,1147
287,280.2734375,987
288,281.25,1076
289,282.2265625,1049
290,283.203125,1095
291,284.1796875,1095
292,285.15625,1142
293,286.1328125,1091
294,287.109375,1024
295,288.0859375,1088
296,289.0625,1102
297,290.0390625,1076
298,291.015625,1084
299,291.9921875,1178
300,292.96875,1114
301,293.9453125,1101
302,294.921875,1051
303,295.8984375,1129
304,296.875,1099
305,297.8515625,1071
306,298.828125,993
307,299.8046875,1052
308,300.78125,1091
309,301.7578125,1019
310,302.734375,1110
311,303.7109375,1060
312,304.6875,1041
313,305.6640625,1103
314,306.640625,1089
315,307.6171875,1023
316,308.59375,1089
317,309.5703125,1046
318,310.546875,1091
319,311.5234375,1070
320,312.5,1106
321,313.4765625,1102
322,314.453125,1097
323,315.4296875,1135
324,316.40625,1104
325,317.3828125,1173
326,318.359375,1073
327,319.3359375,1133
328,320.3125,1100
329,321.2890625,1106
330,322.265625,1146
331,323.2421875,1167
332,324.21875,1224
333,325.1953125,1245
334,326.171875,1210
335,327.1484375,1219
336,328.125,1238
337,329.1015625,1322
338,330.078125,1283
339,331.0546875,1317
340,332.03125,1332
341,333.0078125,1347
342,333.984375,1369
343,334.9609375,1429
344,335.9375,1397
345,336.9140625,1495
346,337.890625,1472
347,338.8671875,1552
348,339.84375,1532
349,340.8203125,1637
350,341.796875,1599
351,342.7734375,1711
352,343.75,1693
353,344.7265625,1600
354,345.703125,1711
355,346.6796875,1835
356,347.65625,1763
357,348.6328125,1781
358,349.609375,1939
359,350.5859375,1886
360,351.5625,1920
361,352.5390625,1900
362,353.515625,1903
363,354.4921875,1976
364,355.46875,1955
365,356.4453125,1971
366,357.421875,1899
367,358.3984375,1967
368,359.375,2066
369,360.3515625,1994
370,361.328125,2054
371,362.3046875,2021
372,363.28125,2080
373,364.2578125,1998
374,365.234375,2051
375,366.2109375,2014
376,367.1875,1974
377,368.1640625,2029
378,369.140625,2066
379,370.1171875,2054
380,371.09375,2080
381,372.0703125,2014
382,373.046875,2036
383,374.0234375,2000
384,375.0,2033
385,375.9765625,2012
386,376.953125,1995
387,377.9296875,1974
388,378.90625,1992
389,379.8828125,1979
390,380.859375,1983
391,381.8359375,1868
392,382.8125,2048
393,383.7890625,1897
394,384.765625,1880
395,385.7421875,1852
396,386.71875,1810
397,387.6953125,1824
398,388.671875,1691
399,389.6484375,1692
400,390.625,1703
401,391.6015625,1638
402,392.578125,1592
403,393.5546875,1563
404,394.53125,1556
405,395.5078125,1617
406,396.484375,1477
407,397.4609375,1506
408,398.4375,1498
409,399.4140625,1483
410,400.390625,1425
411,401.3671875,1312
412,402.34375,1308
413,403.3203125,1237
414,404.296875,1294
415,405.2734375,1275
416,406.25,1274
417,407.2265625,1184
418,408.203125,1182
419,409.1796875,1185
420,410.15625,1188
421,411.1328125,1109
422,412.109375,1093
423,413.0859375,1133
