Channel,Energy_keV,Counts
0,0.0,1517
1,0.9765625,1541
2,1.953125,1449
3,2.9296875,1483
4,3.90625,1530
5,4.8828125,1469
6,5.859375,1444
7,6.8359375,1472
8,7.8125,1542
9,8.7890625,1466
10,9.765625,1422
11,10.7421875,1437
12,11.71875,1527
13,12.6953125,1420
14,13.671875,1437
15,14.6484375,1515
16,15.625,1536
17,16.6015625,1405
18,17.578125,1451
19,18.5546875,1420
20,19.53125,1419
21,20.5078125,1466
22,21.484375,1460
23,22.4609375,1436
24,23.4375,1426
25,24.4140625,1446
26,25.390625,1395
27,26.3671875,1351
28,27.34375,1467
29,28.3203125,1399
30,29.296875,1339
31,30.2734375,1448
32,31.25,1389
33,32.2265625,1406
34,33.203125,1385
35,34.1796875,1496
36,35.15625,1454
37,36.1328125,1462
38,37.109375,1456
39,38.0859375,1431
40,39.0625,1405
41,40.0390625,1431
42,41.015625,1390
43,41.9921875,1462
44,42.96875,1403
45,43.9453125,1404
46,44.921875,1437
47,45.8984375,1370
48,46.875,1406
49,47.8515625,1394
50,48.828125,1370
51,49.8046875,1470
52,50.78125,1364
53,51.7578125,1395
54,52.734375,1466
55,53.7109375,1381
56,54.6875,1425
57,55.6640625,1444
58,56.640625,1441
59,57.6171875,1394
60,58.59375,1436
61,59.5703125,1465
62,60.546875,1408
63,61.5234375,1396
64,62.5,1374
65,63.4765625,1389
66,64.453125,1400
67,65.4296875,1393
68,66.40625,1353
69,67.3828125,1315
70,68.359375,1330
71,69.3359375,1402
72,70.3125,1370
73,71.2890625,1396
74,72.265625,1392
75,73.2421875,1319
76,74.21875,1402
77,75.1953125,1434
78,76.171875,1369
79,77.1484375,1410
80,78.125,1348
81,79.1015625,1383
82,80.078125,1353
83,81.0546875,1392
84,82.03125,1452
85,83.0078125,1444
86,83.984375,1320
87,84.9609375,1330
88,85.9375,1315
89,86.9140625,1329
90,87.890625,1289
91,88.8671875,1397
92,89.84375,1300
93,90.8203125,1359
94,91.796875,1375
95,92.7734375,1361
96,93.75,1303
97,94.7265625,1353
98,95.703125,1318
99,96.6796875,1349
100,97.65625,1321
101,98.6328125,1291
102,99.609375,1375
103,100.5859375,1298
104,101.5625,1322
105,102.5390625,1285
106,103.515625,1326
107,104.4921875,1334
108,105.46875,1298
109,106.4453125,1322
110,107.421875,1317
111,108.3984375,1264
112,109.375,1422
113,110.3515625,1331
