Channel,Energy_keV,Counts
0,0.0,1492
1,0.9765625,1487
2,1.953125,1494
3,2.9296875,1464
4,3.90625,1465
5,4.8828125,1458
6,5.859375,1513
7,6.8359375,1435
8,7.8125,1504
9,8.7890625,1468
10,9.765625,1463
11,10.7421875,1455
12,11.71875,1489
13,12.6953125,1467
14,13.671875,1408
15,14.6484375,1464
16,15.625,1533
17,16.6015625,1439
18,17.578125,1458
19,18.5546875,1464
20,19.53125,1452
21,20.5078125,1461
22,21.484375,1398
23,22.4609375,1488
24,23.4375,1465
25,24.4140625,1485
26,25.390625,1454
27,26.3671875,1393
28,27.34375,1397
29,28.3203125,1407
30,29.296875,1418
31,30.2734375,1460
32,31.25,1446
33,32.2265625,1435
34,33.203125,1491
35,34.1796875,1457
36,35.15625,1456
37,36.1328125,1482
38,37.109375,1444
39,38.0859375,1427
40,39.0625,1460
41,40.0390625,1441
42,41.015625,1388
43,41.9921875,1425
44,42.96875,1418
45,43.9453125,1411
46,44.921875,1433
47,45.8984375,1377
48,46.875,1416
49,47.8515625,1384
50,48.828125,1416
51,49.8046875,1410
52,50.78125,1365
53,51.7578125,1413
54,52.734375,1456
55,53.7109375,1381
56,54.6875,1310
57,55.6640625,1374
58,56.640625,1408
59,57.6171875,1406
60,58.59375,1384
61,59.5703125,1452
62,60.546875,1404
63,61.5234375,1423
64,62.5,1368
65,63.4765625,1379
66,64.453125,1407
67,65.4296875,1366
68,66.40625,1409
69,67.3828125,1391
70,68.359375,1350
71,69.3359375,1388
72,70.3125,1444
73,71.2890625,1413
74,72.265625,1346
75,73.2421875,1362
76,74.21875,1310
77,75.1953125,1398
78,76.171875,1331
79,77.1484375,1366
80,78.125,1349
81,79.1015625,1391
82,80.078125,1336
83,81.0546875,1318
84,82.03125,1320
85,83.0078125,1321
86,83.984375,1353
87,84.9609375,1403
88,85.9375,1400
89,86.9140625,1333
90,87.890625,1334
91,88.8671875,1287
92,89.84375,1314
93,90.8203125,1312
94,91.796875,1363
95,92.7734375,1311
96,93.75,1331
97,94.7265625,1267
98,95.703125,1348
99,96.6796875,1334
100,97.65625,1348
101,98.6328125,1355
102,99.609375,1352
103,100.5859375,1306
104,101.5625,1312
105,102.5390625,1323
106,103.515625,1307
107,104.4921875,1312
108,105.46875,1315
109,106.4453125,1334
110,107.421875,1348
111,108.3984375,1342
112,109.375,1374
113,110.3515625,1307
114,111.328125,1286
115,112.3046875,1327
116,113.28125,1348
117,114.2578125,1292
118,115.234375,1339
119,116.2109375,1302
120,117.1875,1237
121,118.1640625,1254
122,119.140625,1316
123,120.1171875,1339
124,121.09375,1226
125,122.0703125,1248
126,123.046875,1285
127,124.0234375,1299
128,125.0,1236
129,125.9765625,1326
130,126.953125,1268
131,127.9296875,1283
132,128.90625,1353
133,129.8828125,1264
134,130.859375,1262
135,131.8359375,1341
136,132.8125,1290
137,133.7890625,1290
138,134.765625,1298
139,135.7421875,1294
140,136.71875,1257
141,137.6953125,1313
142,138.671875,1337
143,139.6484375,1273
144,140.625,1290
145,141.6015625,1252
146,142.578125,1350
147,143.5546875,1252
148,144.53125,1247
149,145.5078125,1245
150,146.484375,1264
151,147.4609375,1262
152,148.4375,1210
153,149.4140625,1290
154,150.390625,1243
155,151.3671875,1235
156,152.34375,1236
157,153.3203125,1259
158,154.296875,1258
159,155.2734375,1261
160,156.25,1260
161,157.2265625,1307
162,158.203125,1256
163,159.1796875,1275
164,160.15625,1246
165,161.1328125,1252
166,162.109375,1289
167,163.0859375,1215
168,164.0625,1241
169,165.0390625,1223
170,166.015625,1232
171,166.9921875,1261
172,167.96875,1242
173,168.9453125,1194
174,169.921875,1256
175,170.8984375,1263
176,171.875,1245
177,172.8515625,1272
178,173.828125,1229
179,174.8046875,1246
180,175.78125,1260
181,176.7578125,1198
182,177.734375,1139
183,178.7109375,1241
184,179.6875,1208
185,180.6640625,1237
186,181.640625,1219
187,182.6171875,1190
188,183.59375,1194
189,184.5703125,1220
190,185.546875,1135
191,186.5234375,1200
192,187.5,1244
193,188.4765625,1165
194,189.453125,1208
195,190.4296875,1201
196,191.40625,1221
197,192.3828125,1224
198,193.359375,1182
199,194.3359375,1245
200,195.3125,1259
201,196.2890625,1154
202,197.265625,1194
203,198.2421875,1173
204,199.21875,1187
205,200.1953125,1173
206,201.171875,1171
207,202.1484375,1184
208,203.125,1240
209,204.1015625,1225
210,205.078125,1224
211,206.0546875,1186
212,207.03125,1176
213,208.0078125,1199
214,208.984375,1209
215,209.9609375,1196
216,210.9375,1207
217,211.9140625,1160
218,212.890625,1128
219,213.8671875,1177
220,214.84375,1224
221,215.8203125,1181
222,216.796875,1181
223,217.7734375,1192
224,218.75,1158
225,219.7265625,1203
226,220.703125,1241
227,221.6796875,1175
228,222.65625,1191
229,223.6328125,1099
230,224.609375,1130
231,225.5859375,1140
232,226.5625,1172
233,227.5390625,1134
234,228.515625,1193
235,229.4921875,1147
236,230.46875,1059
237,231.4453125,1143
238,232.421875,1203
239,233.3984375,1111
240,234.375,1143
241,235.3515625,1119
242,236.328125,1163
243,237.3046875,1136
244,238.28125,1190
245,239.2578125,1200
246,240.234375,1139
247,241.2109375,1101
248,242.1875,1105
249,243.1640625,1166
250,244.140625,1123
