Channel,Energy_keV,Counts
0,0.0,1517
1,0.9765625,1477
2,1.953125,1476
3,2.9296875,1519
4,3.90625,1462
5,4.8828125,1467
6,5.859375,1505
7,6.8359375,1502
8,7.8125,1477
9,8.7890625,1453
10,9.765625,1411
11,10.7421875,1412
12,11.71875,1458
13,12.6953125,1382
14,13.671875,1438
15,14.6484375,1391
16,15.625,1443
17,16.6015625,1545
18,17.578125,1435
19,18.5546875,1450
20,19.53125,1400
21,20.5078125,1468
22,21.484375,1444
23,22.4609375,1423
24,23.4375,1474
25,24.4140625,1485
26,25.390625,1442
27,26.3671875,1480
28,27.34375,1433
29,28.3203125,1452
30,29.296875,1434
31,30.2734375,1542
32,31.25,1436
33,32.2265625,1472
34,33.203125,1419
35,34.1796875,1410
36,35.15625,1457
37,36.1328125,1417
38,37.109375,1398
39,38.0859375,1465
40,39.0625,1374
41,40.0390625,1373
42,41.015625,1419
43,41.9921875,1371
44,42.96875,1463
45,43.9453125,1391
46,44.921875,1463
47,45.8984375,1401
48,46.875,1440
49,47.8515625,1317
50,48.828125,1427
51,49.8046875,1348
52,50.78125,1398
53,51.7578125,1410
54,52.734375,1369
55,53.7109375,1429
56,54.6875,1372
57,55.6640625,1391
58,56.640625,1362
59,57.6171875,1396
60,58.59375,1419
61,59.5703125,1385
62,60.546875,1402
63,61.5234375,1435
64,62.5,1388
65,63.4765625,1311
66,64.453125,1342
67,65.4296875,1356
68,66.40625,1362
69,67.3828125,1354
70,68.359375,1454
71,69.3359375,1351
72,70.3125,1366
73,71.2890625,1438
74,72.265625,1352
75,73.2421875,1349
76,74.21875,1394
77,75.1953125,1325
78,76.171875,1416
79,77.1484375,1283
80,78.125,1350
81,79.1015625,1389
82,80.078125,1429
83,81.0546875,1287
84,82.03125,1399
85,83.0078125,1387
86,83.984375,1304
87,84.9609375,1405
88,85.9375,1331
89,86.9140625,1372
90,87.890625,1431
91,88.8671875,1277
92,89.84375,1340
93,90.8203125,1299
94,91.796875,1410
95,92.7734375,1365
96,93.75,1354
97,94.7265625,1354
98,95.703125,1307
99,96.6796875,1370
100,97.65625,1374
101,98.6328125,1325
102,99.609375,1359
103,100.5859375,1354
104,101.5625,1318
105,102.5390625,1368
106,103.515625,1354
107,104.4921875,1357
108,105.46875,1369
109,106.4453125,1351
110,107.421875,1371
111,108.3984375,1339
112,109.375,1329
113,110.3515625,1315
114,111.328125,1286
115,112.3046875,1360
116,113.28125,1265
117,114.2578125,1311
118,115.234375,1394
119,116.2109375,1344
120,117.1875,1266
121,118.1640625,1331
122,119.140625,1343
123,120.1171875,1343
124,121.09375,1310
125,122.0703125,1342
126,123.046875,1289
127,124.0234375,1292
128,125.0,1344
129,125.9765625,1333
130,126.953125,1236
131,127.9296875,1223
132,128.90625,1313
133,129.8828125,1315
134,130.859375,1266
135,131.8359375,1281
136,132.8125,1281
137,133.7890625,1266
138,134.765625,1313
139,135.7421875,1252
140,136.71875,1340
141,137.6953125,1320
142,138.671875,1300
143,139.6484375,1255
144,140.625,1335
145,141.6015625,1326
146,142.578125,1310
147,143.5546875,1280
148,144.53125,1304
149,145.5078125,1286
150,146.484375,1280
151,147.4609375,1253
152,148.4375,1247
153,149.4140625,1313
154,150.390625,1312
155,151.3671875,1319
156,152.34375,1236
157,153.3203125,1218
158,154.296875,1321
159,155.2734375,1279
160,156.25,1283
161,157.2265625,1311
162,158.203125,1244
163,159.1796875,1194
164,160.15625,1287
165,161.1328125,1258
166,162.109375,1210
167,163.0859375,1203
168,164.0625,1244
169,165.0390625,1267
170,166.015625,1249
171,166.9921875,1240
172,167.96875,1194
173,168.9453125,1248
174,169.921875,1235
175,170.8984375,1259
176,171.875,1224
177,172.8515625,1252
178,173.828125,1247
179,174.8046875,1233
180,175.78125,1281
181,176.7578125,1251
182,177.734375,1222
183,178.7109375,1241
184,179.6875,1227
185,180.6640625,1203
186,181.640625,1205
187,182.6171875,1273
188,183.59375,1190
189,184.5703125,1213
190,185.546875,1240
191,186.5234375,1228
192,187.5,1147
193,188.4765625,1264
194,189.453125,1181
195,190.4296875,1204
196,191.40625,1235
197,192.3828125,1203
198,193.359375,1226
199,194.3359375,1176
200,195.3125,1259
201,196.2890625,1161
202,197.265625,1200
203,198.2421875,1175
204,199.21875,1184
205,200.1953125,1254
206,201.171875,1234
207,202.1484375,1235
208,203.125,1187
209,204.1015625,1156
210,205.078125,1136
211,206.0546875,1171
212,207.03125,1171
213,208.0078125,1202
214,208.984375,1172
215,209.9609375,1172
216,210.9375,1163
217,211.9140625,1286
218,212.890625,1159
219,213.8671875,1140
220,214.84375,1155
221,215.8203125,1190
222,216.796875,1193
223,217.7734375,1122
224,218.75,1179
225,219.7265625,1139
226,220.703125,1157
227,221.6796875,1174
228,222.65625,1190
229,223.6328125,1085
230,224.609375,1155
231,225.5859375,1187
232,226.5625,1174
233,227.5390625,1089
234,228.515625,1201
235,229.4921875,1167
236,230.46875,1151
237,231.4453125,1144
238,232.421875,1151
239,233.3984375,1109
240,234.375,1176
241,235.3515625,1203
242,236.328125,1167
243,237.3046875,1161
244,238.28125,1173
245,239.2578125,1113
246,240.234375,1182
247,241.2109375,1182
248,242.1875,1186
249,243.1640625,1152
250,244.140625,1082
251,245.1171875,1131
252,246.09375,1135
253,247.0703125,1100
254,248.046875,1134
255,249.0234375,1127
256,250.0,1114
257,250.9765625,1146
258,251.953125,1129
259,252.9296875,1113
260,253.90625,1101
261,254.8828125,1082
262,255.859375,1146
263,256.8359375,1152
264,257.8125,1198
265,258.7890625,1181
266,259.765625,1108
267,260.7421875,1142
268,261.71875,1133
269,262.6953125,1142
270,263.671875,1102
271,264.6484375,1059
272,265.625,1130
273,266.6015625,1133
