Channel,energy,Counts
0,0.0,10
1,1.9550342130987293,11
2,3.9100684261974585,8
3,5.865102639296188,17
4,7.820136852394917,15
5,9.775171065493646,9
6,11.730205278592376,11
7,13.685239491691105,11
8,15.640273704789834,13
9,17.59530791788856,11
10,19.550342130987293,5
11,21.505376344086024,10
12,23.46041055718475,5
13,25.41544477028348,13
14,27.37047898338221,11
15,29.32551319648094,12
16,31.28054740957967,11
17,33.235581622678396,5
18,35.19061583577712,11
19,37.14565004887586,15
20,39.100684261974585,12
21,41.05571847507331,9
22,43.01075268817205,10
23,44.965786901270775,19
24,46.9208211143695,10
25,48.87585532746823,10
26,50.83088954056696,9
27,52.78592375366569,9
28,54.74095796676442,10
29,56.69599217986315,16
30,58.65102639296188,9
31,60.60606060606061,9
32,62.56109481915934,10
33,64.51612903225806,13
34,66.47116324535679,9
35,68.42619745845552,12
36,70.38123167155425,10
37,72.33626588465299,10
38,74.29130009775172,11
39,76.24633431085044,14
40,78.20136852394917,12
41,80.1564027370479,10
42,82.11143695014663,11
43,84.06647116324535,12
44,86.0215053763441,19
45,87.97653958944282,14
46,89.93157380254155,15
47,91.88660801564028,13
48,93.841642228739,9
49,95.79667644183773,13
50,97.75171065493646,16
51,99.70674486803519,13
52,101.66177908113391,17
53,103.61681329423266,11
54,105.57184750733138,8
55,107.52688172043011,20
56,109.48191593352884,15
57,111.43695014662757,10
58,113.3919843597263,13
59,115.34701857282502,15
60,117.30205278592376,13
61,119.25708699902249,16
62,121.21212121212122,9
63,123.16715542521995,10
64,125.12218963831867,11
65,127.0772238514174,11
66,129.03225806451613,11
67,130.98729227761487,10
68,132.94232649071358,10
69,134.89736070381232,13
70,136.85239491691104,14
71,138.80742913000978,12
72,140.7624633431085,6
73,142.71749755620723,6
74,144.67253176930598,9
75,146.6275659824047,9
76,148.58260019550343,13
77,150.53763440860214,7
78,152.4926686217009,15
79,154.4477028347996,10
80,156.40273704789834,8
81,158.35777126099708,4
82,160.3128054740958,12
83,162.26783968719454,11
84,164.22287390029325,7
85,166.177908113392,12
86,168.1329423264907,19
87,170.08797653958945,10
88,172.0430107526882,9
89,173.9980449657869,6
90,175.95307917888564,16
91,177.90811339198436,6
92,179.8631476050831,11
93,181.8181818181818,9
94,183.77321603128055,8
95,185.72825024437927,6
96,187.683284457478,11
97,189.63831867057675,5
98,191.59335288367546,5
99,193.5483870967742,16
100,195.50342130987292,10
101,197.45845552297166,16
102,199.41348973607037,7
103,201.36852394916912,5
104,203.32355816226783,6
105,205.27859237536657,7
106,207.2336265884653,8
107,209.18866080156403,5
108,211.14369501466277,4
109,213.09872922776148,9
110,215.05376344086022,6
111,217.00879765395894,8
112,218.96383186705768,14
113,220.91886608015642,9
114,222.87390029325513,4
115,224.82893450635387,11
116,226.7839687194526,10
117,228.73900293255133,8
118,230.69403714565004,10
119,232.64907135874878,15
120,234.60410557184753,11
121,236.55913978494624,6
122,238.51417399804498,8
123,240.4692082111437,5
124,242.42424242424244,9
125,244.37927663734115,12
126,246.3343108504399,8
127,248.2893450635386,13
128,250.24437927663735,8
129,252.1994134897361,7
130,254.1544477028348,19
